Session ID: c9f607e8-f892-41d9-bff5-956536794a06
CHEF iQ Probe Data
Probe Name: Probe 3
Cook Name: Filet Mignon
Target temperature: 145 (deg F)
Remove from heat temperature: 130 (deg F)
Peak temperature: 131.54 (deg F)
Total cook time: 37m 2s
Resting time: 5m
Created at: 08/27/2026 5:18:20 PM


Date,Time,Internal Temperature (deg F),Ambient Temperature (deg F),Tip 1 (deg F),Tip 2 (deg F),Tip 3 (deg F),Tip 4 (deg F),Elapsed Time
08/27/2026,5:27:05 PM,111.74,246.56,111.74,112.46,113.9,124.7,526
08/27/2026,5:27:10 PM,111.92,240.44,111.92,112.82,114.44,124.88,531
08/27/2026,5:27:15 PM,111.92,240.44,111.92,112.82,114.44,124.88,536
08/27/2026,5:27:20 PM,112.46,234.5,112.46,113.18,114.8,125.06,541
08/27/2026,5:27:25 PM,112.64,233.6,112.64,113.36,114.98,125.06,548
08/27/2026,5:27:30 PM,112.64,229.64,112.64,113.36,114.98,125.06,549
08/27/2026,5:27:45 PM,113.18,224.6,113.18,113.72,115.34,124.88,563
08/27/2026,5:28:00 PM,113.72,222.62,114.26,113.72,115.52,124.88,578
08/27/2026,5:28:15 PM,114.08,217.22,115.16,114.26,115.52,124.52,593
08/27/2026,5:28:30 PM,114.44,208.04,115.52,114.62,115.52,124.16,608
08/27/2026,5:28:45 PM,114.62,199.04,115.52,114.62,115.52,123.98,623
08/27/2026,5:29:00 PM,114.8,198.68,115.52,114.8,115.52,123.8,638
08/27/2026,5:29:15 PM,114.8,200.12,115.52,114.8,115.52,123.62,654
08/27/2026,5:29:30 PM,114.8,203.36,115.34,114.8,115.52,123.62,669
08/27/2026,5:29:45 PM,114.8,206.6,115.34,114.8,115.52,123.62,683
08/27/2026,5:30:00 PM,114.8,194.9,115.52,114.98,115.52,123.62,698
08/27/2026,5:30:15 PM,114.98,178.88,115.52,114.98,115.7,123.44,713
08/27/2026,5:30:30 PM,114.98,176.72,115.34,114.98,115.7,123.44,728
08/27/2026,5:30:45 PM,114.8,176.18,115.34,114.8,115.7,123.44,744
08/27/2026,5:30:50 PM,114.98,176.54,115.16,114.98,115.88,123.44,749
08/27/2026,5:30:55 PM,114.98,176.54,115.16,114.98,115.88,123.44,754
08/27/2026,5:31:00 PM,114.98,177.26,115.16,114.98,115.88,123.44,762
08/27/2026,5:31:05 PM,114.98,175.46,115.16,114.98,115.88,123.44,767
08/27/2026,5:31:10 PM,114.98,175.46,115.16,114.98,115.88,123.44,772
08/27/2026,5:31:15 PM,114.98,176,115.16,114.98,115.88,123.44,777
08/27/2026,5:31:20 PM,114.98,176,115.16,114.98,115.88,123.44,782
08/27/2026,5:31:25 PM,114.98,176.54,115.16,114.98,116.06,123.62,787
08/27/2026,5:31:30 PM,114.98,176.54,115.16,114.98,116.06,123.62,792
08/27/2026,5:31:35 PM,114.98,174.2,115.34,114.98,116.24,123.62,797
08/27/2026,5:31:40 PM,114.98,174.2,115.34,114.98,116.24,123.62,802
08/27/2026,5:31:45 PM,114.98,175.1,115.34,114.98,116.24,123.62,807
08/27/2026,5:31:50 PM,114.98,175.1,115.34,114.98,116.24,123.62,812
08/27/2026,5:31:55 PM,115.16,174.56,115.34,115.16,116.42,123.8,817
08/27/2026,5:32:00 PM,115.16,174.38,115.34,115.16,116.42,123.8,822
08/27/2026,5:32:05 PM,115.16,173.48,115.34,115.16,116.6,123.98,827
08/27/2026,5:32:10 PM,115.16,173.48,115.34,115.16,116.6,123.98,832
08/27/2026,5:32:15 PM,115.34,172.4,115.52,115.34,116.6,123.98,837
08/27/2026,5:32:20 PM,115.34,172.94,115.52,115.34,116.6,123.98,842
08/27/2026,5:32:25 PM,115.34,173.12,115.52,115.34,116.78,123.98,847
08/27/2026,5:32:30 PM,115.34,173.12,115.52,115.34,116.78,123.98,849
08/27/2026,5:32:35 PM,115.34,173.66,115.52,115.34,116.78,124.16,854
08/27/2026,5:32:40 PM,115.34,173.66,115.52,115.34,116.78,124.16,859
08/27/2026,5:32:45 PM,115.52,173.3,115.7,115.52,116.96,124.34,864
08/27/2026,5:32:50 PM,115.52,172.94,115.7,115.52,116.96,124.34,869
08/27/2026,5:32:55 PM,115.52,171.68,115.7,115.52,117.14,124.52,874
08/27/2026,5:33:00 PM,115.52,171.68,115.7,115.52,117.14,124.52,879
08/27/2026,5:33:05 PM,115.7,170.78,115.7,115.7,117.14,124.52,884
08/27/2026,5:33:10 PM,115.7,169.88,115.88,115.7,117.32,124.52,889
08/27/2026,5:33:15 PM,115.7,169.88,115.88,115.7,117.32,124.52,894
08/27/2026,5:33:20 PM,115.88,167.54,116.06,115.88,117.5,124.7,899
08/27/2026,5:33:25 PM,115.88,167.18,116.06,115.88,117.5,124.7,904
08/27/2026,5:33:30 PM,116.06,167.18,116.24,116.06,117.68,124.7,909
08/27/2026,5:33:35 PM,116.06,167.9,116.24,116.06,117.68,124.7,914
08/27/2026,5:33:40 PM,116.06,167.9,116.24,116.06,117.68,124.7,919
08/27/2026,5:33:45 PM,116.42,172.76,116.42,116.42,118.04,125.06,928
08/27/2026,5:33:50 PM,116.42,174.56,116.42,116.42,118.04,125.24,933
08/27/2026,5:33:55 PM,116.42,176,116.42,116.42,118.22,125.24,938
08/27/2026,5:34:00 PM,116.6,179.96,116.6,116.6,118.4,125.42,943
08/27/2026,5:34:05 PM,116.6,182.12,116.78,116.6,118.4,125.6,948
08/27/2026,5:34:10 PM,116.6,182.66,116.78,116.6,118.4,125.6,953
08/27/2026,5:34:15 PM,116.78,183.92,116.78,116.78,118.58,125.78,958
08/27/2026,5:34:20 PM,116.78,183.92,116.78,116.78,118.58,125.96,963
08/27/2026,5:34:25 PM,116.96,188.24,116.96,116.96,118.76,126.14,968
08/27/2026,5:34:30 PM,116.96,188.24,116.96,116.96,118.76,126.14,973
08/27/2026,5:34:35 PM,116.96,190.76,117.14,116.96,118.94,126.5,978
08/27/2026,5:34:40 PM,117.14,191.3,117.14,117.14,118.94,126.5,983
08/27/2026,5:34:45 PM,117.14,191.12,117.32,117.14,119.12,126.68,988
08/27/2026,5:34:50 PM,117.14,191.12,117.32,117.14,119.12,126.68,993
08/27/2026,5:34:55 PM,117.32,195.98,117.32,117.32,119.3,126.86,998
08/27/2026,5:35:00 PM,117.5,203.54,117.5,117.5,119.48,127.22,1003
08/27/2026,5:35:10 PM,117.5,207.68,117.5,117.5,119.48,127.4,1009
08/27/2026,5:35:15 PM,117.5,212.36,117.5,117.5,119.66,127.4,1014
08/27/2026,5:35:20 PM,117.68,218.48,117.68,117.68,119.84,127.76,1019
08/27/2026,5:35:25 PM,117.68,220.46,117.86,117.68,119.84,127.94,1024
08/27/2026,5:35:30 PM,117.86,219.74,117.86,117.86,120.02,128.3,1029
08/27/2026,5:35:35 PM,117.86,218.66,118.04,117.86,120.2,128.48,1034
08/27/2026,5:35:40 PM,118.04,217.58,118.4,118.04,120.38,128.84,1039
08/27/2026,5:35:45 PM,118.4,217.58,118.76,118.4,120.56,129.02,1044
08/27/2026,5:35:50 PM,118.58,220.64,118.94,118.58,120.92,129.38,1049
08/27/2026,5:35:55 PM,118.58,220.64,118.94,118.58,120.92,129.38,1054
08/27/2026,5:36:00 PM,118.94,229.46,119.48,118.94,121.28,129.92,1059
08/27/2026,5:36:05 PM,118.94,231.8,119.48,118.94,121.46,130.1,1064
08/27/2026,5:36:10 PM,118.94,231.8,119.84,119.3,121.82,130.64,1069
08/27/2026,5:36:15 PM,119.3,237.92,120.02,119.48,122,131,1074
08/27/2026,5:36:20 PM,119.48,242.24,120.38,119.66,122.36,131.36,1079
08/27/2026,5:36:25 PM,120.02,250.7,120.74,120.02,122.72,131.9,1088
08/27/2026,5:36:30 PM,120.2,253.22,120.92,120.2,122.9,132.26,1093
08/27/2026,5:36:35 PM,120.2,253.22,120.92,120.2,122.9,132.26,1098
08/27/2026,5:36:40 PM,120.74,259.7,121.46,120.74,123.62,133.16,1103
08/27/2026,5:36:45 PM,121.1,260.96,121.82,121.1,123.98,133.7,1108
08/27/2026,5:36:50 PM,121.1,260.96,121.82,121.1,123.98,133.7,1113
08/27/2026,5:36:55 PM,121.64,259.88,122.36,121.64,124.52,134.42,1118
08/27/2026,5:37:00 PM,122,258.26,122.72,122,124.88,134.78,1123
08/27/2026,5:37:05 PM,122.36,254.3,123.26,122.36,125.42,135.5,1128
08/27/2026,5:37:10 PM,122.9,251.78,123.62,122.9,125.96,136.04,1133
08/27/2026,5:37:15 PM,123.08,252.68,123.8,123.08,126.14,136.22,1138
08/27/2026,5:37:20 PM,123.08,252.68,124.34,123.62,126.68,136.76,1143
08/27/2026,5:37:25 PM,123.62,257.36,124.34,123.62,126.68,136.76,1148
08/27/2026,5:37:30 PM,123.98,262.58,124.7,123.98,127.04,137.12,1151
08/27/2026,5:37:35 PM,123.98,262.58,124.7,123.98,127.04,137.12,1156
08/27/2026,5:37:40 PM,124.52,272.66,125.24,124.52,127.76,138.02,1161
08/27/2026,5:37:45 PM,124.88,276.08,125.6,124.88,127.94,138.2,1166
08/27/2026,5:37:50 PM,124.88,276.08,125.6,124.88,127.94,138.2,1171
08/27/2026,5:37:55 PM,125.42,285.8,126.14,125.42,128.66,139.28,1176
08/27/2026,5:38:00 PM,125.42,285.8,126.14,125.42,128.66,139.28,1181
08/27/2026,5:38:05 PM,125.96,289.58,126.5,125.96,129.02,139.82,1186
08/27/2026,5:38:10 PM,126.32,290.48,127.04,126.32,129.56,140.18,1191
08/27/2026,5:38:15 PM,126.32,290.48,127.04,126.32,129.56,140.18,1196
08/27/2026,5:38:20 PM,126.32,290.48,127.04,126.32,129.56,140.18,1201
08/27/2026,5:38:25 PM,126.32,290.48,127.04,126.32,129.56,140.18,1206
08/27/2026,5:38:30 PM,128.12,250.88,128.12,128.12,131.9,141.8,1211
08/27/2026,5:38:35 PM,128.12,250.88,128.12,128.12,131.9,141.8,1216
08/27/2026,5:38:40 PM,128.12,250.88,128.12,128.12,131.9,141.8,1221
08/27/2026,5:38:45 PM,128.12,250.88,128.12,128.12,131.9,141.8,1226
08/27/2026,5:38:50 PM,128.12,250.88,128.12,128.12,131.9,141.8,1231
08/27/2026,5:38:55 PM,128.12,250.88,128.12,128.12,131.9,141.8,1236
08/27/2026,5:39:00 PM,128.12,250.88,128.12,128.12,131.9,141.8,1241
08/27/2026,5:39:05 PM,128.12,250.88,128.12,128.12,131.9,141.8,1246
08/27/2026,5:39:10 PM,128.12,250.88,128.12,128.12,131.9,141.8,1251
08/27/2026,5:39:15 PM,128.12,250.88,128.12,128.12,131.9,141.8,1256
08/27/2026,5:39:20 PM,128.12,250.88,128.12,128.12,131.9,141.8,1261
08/27/2026,5:39:25 PM,128.12,250.88,128.12,128.12,131.9,141.8,1266
08/27/2026,5:39:30 PM,128.12,250.88,128.12,128.12,131.9,141.8,1269
08/27/2026,5:39:35 PM,128.12,250.88,128.12,128.12,131.9,141.8,1279
08/27/2026,5:39:45 PM,128.12,250.88,128.12,128.12,131.9,141.8,1284
08/27/2026,5:39:50 PM,128.12,250.88,128.12,128.12,131.9,141.8,1289
08/27/2026,5:39:55 PM,128.12,250.88,128.12,128.12,131.9,141.8,1294
08/27/2026,5:40:00 PM,128.12,250.88,128.12,128.12,131.9,141.8,1299
08/27/2026,5:40:05 PM,128.12,250.88,128.12,128.12,131.9,141.8,1304
08/27/2026,5:40:10 PM,128.12,250.88,128.12,128.12,131.9,141.8,1309
08/27/2026,5:40:15 PM,128.12,250.88,128.12,128.12,131.9,141.8,1314
08/27/2026,5:40:20 PM,128.12,250.88,128.12,128.12,131.9,141.8,1319
08/27/2026,5:40:25 PM,128.12,250.88,128.12,128.12,131.9,141.8,1324
08/27/2026,5:40:30 PM,128.12,250.88,128.12,128.12,131.9,141.8,1329
08/27/2026,5:40:35 PM,128.12,250.88,128.12,128.12,131.9,141.8,1334
08/27/2026,5:40:40 PM,128.12,250.88,128.12,128.12,131.9,141.8,1339
08/27/2026,5:40:45 PM,128.12,250.88,128.12,128.12,131.9,141.8,1344
08/27/2026,5:40:50 PM,128.12,250.88,128.12,128.12,131.9,141.8,1349
08/27/2026,5:40:55 PM,128.12,250.88,128.12,128.12,131.9,141.8,1358
08/27/2026,5:41:00 PM,128.12,250.88,128.12,128.12,131.9,141.8,1363
08/27/2026,5:41:05 PM,128.12,250.88,128.12,128.12,131.9,141.8,1368
08/27/2026,5:41:10 PM,128.12,250.88,128.12,128.12,131.9,141.8,1373
08/27/2026,5:41:15 PM,128.12,250.88,128.12,128.12,131.9,141.8,1378
08/27/2026,5:41:20 PM,128.12,250.88,128.12,128.12,131.9,141.8,1383
08/27/2026,5:41:25 PM,128.12,250.88,128.12,128.12,131.9,141.8,1388
08/27/2026,5:41:30 PM,128.12,250.88,128.12,128.12,131.9,141.8,1393
08/27/2026,5:41:35 PM,128.12,250.88,128.12,128.12,131.9,141.8,1398
08/27/2026,5:41:40 PM,128.12,250.88,128.12,128.12,131.9,141.8,1403
08/27/2026,5:41:50 PM,128.12,250.88,128.12,128.12,131.9,141.8,1413
08/27/2026,5:41:55 PM,128.12,250.88,128.12,128.12,131.9,141.8,1418
08/27/2026,5:42:05 PM,128.12,250.88,128.12,128.12,131.9,141.8,1428
08/27/2026,5:42:15 PM,128.12,250.88,128.12,128.12,131.9,141.8,1433
08/27/2026,5:42:20 PM,128.12,250.88,128.12,128.12,131.9,141.8,1439
08/27/2026,5:42:25 PM,128.12,250.88,128.12,128.12,131.9,141.8,1444
08/27/2026,5:42:30 PM,128.12,250.88,128.12,128.12,131.9,141.8,1449
08/27/2026,5:42:35 PM,128.12,250.88,128.12,128.12,131.9,141.8,1454
08/27/2026,5:42:40 PM,128.12,250.88,128.12,128.12,131.9,141.8,1459
08/27/2026,5:42:45 PM,128.12,250.88,128.12,128.12,131.9,141.8,1464
08/27/2026,5:42:50 PM,128.12,250.88,128.12,128.12,131.9,141.8,1469
08/27/2026,5:42:55 PM,128.12,250.88,128.12,128.12,131.9,141.8,1474
08/27/2026,5:43:00 PM,128.12,250.88,128.12,128.12,131.9,141.8,1479
08/27/2026,5:43:05 PM,128.12,250.88,128.12,128.12,131.9,141.8,1484
08/27/2026,5:43:10 PM,128.12,250.88,128.12,128.12,131.9,141.8,1489
08/27/2026,5:43:15 PM,128.12,250.88,128.12,128.12,131.9,141.8,1494
08/27/2026,5:43:20 PM,128.12,250.88,128.12,128.12,131.9,141.8,1499
08/27/2026,5:43:25 PM,128.12,250.88,128.12,128.12,131.9,141.8,1504
08/27/2026,5:43:30 PM,128.12,250.88,128.12,128.12,131.9,141.8,1509
08/27/2026,5:43:35 PM,128.12,250.88,128.12,128.12,131.9,141.8,1514
08/27/2026,5:43:40 PM,128.12,250.88,128.12,128.12,131.9,141.8,1519
08/27/2026,5:43:45 PM,128.12,250.88,128.12,128.12,131.9,141.8,1523
08/27/2026,5:43:50 PM,128.12,250.88,128.12,128.12,131.9,141.8,1528
08/27/2026,5:43:55 PM,128.12,250.88,128.12,128.12,131.9,141.8,1533
08/27/2026,5:44:00 PM,128.12,250.88,128.12,128.12,131.9,141.8,1538
08/27/2026,5:44:05 PM,128.12,250.88,128.12,128.12,131.9,141.8,1543
08/27/2026,5:44:10 PM,128.12,250.88,128.12,128.12,131.9,141.8,1548
08/27/2026,5:44:15 PM,128.12,250.88,128.12,128.12,131.9,141.8,1553
08/27/2026,5:44:20 PM,128.12,250.88,128.12,128.12,131.9,141.8,1558
08/27/2026,5:44:25 PM,128.12,250.88,128.12,128.12,131.9,141.8,1563
08/27/2026,5:44:30 PM,128.12,250.88,128.12,128.12,131.9,141.8,1568
08/27/2026,5:44:35 PM,128.12,250.88,128.12,128.12,131.9,141.8,1573
08/27/2026,5:44:40 PM,128.12,250.88,128.12,128.12,131.9,141.8,1578
08/27/2026,5:44:45 PM,128.12,250.88,128.12,128.12,131.9,141.8,1583
08/27/2026,5:44:50 PM,128.12,250.88,128.12,128.12,131.9,141.8,1588
08/27/2026,5:44:55 PM,128.12,250.88,128.12,128.12,131.9,141.8,1593
08/27/2026,5:45:00 PM,128.12,250.88,128.12,128.12,131.9,141.8,1598
08/27/2026,5:45:05 PM,128.12,250.88,128.12,128.12,131.9,141.8,1603
08/27/2026,5:45:10 PM,131,250.88,131,132.98,137.66,142.7,1613
08/27/2026,5:45:15 PM,131,140,131,132.98,137.66,142.7,1618
08/27/2026,5:45:20 PM,131.54,138.74,131.54,132.98,137.48,142.52,1621
08/27/2026,5:45:25 PM,131.36,137.48,131.36,133.16,137.3,142.34,1626
08/27/2026,5:45:30 PM,131.36,137.48,131.36,133.16,137.3,142.34,1631
08/27/2026,5:45:35 PM,119.66,129.38,119.66,127.94,131.54,134.96,1636
08/27/2026,5:45:40 PM,116.42,127.76,116.42,125.6,128.84,131.54,1639
08/27/2026,5:45:45 PM,114.8,126.86,114.8,123.8,127.22,129.38,1644
08/27/2026,5:45:50 PM,112.1,124.52,112.1,120.74,124.16,125.42,1649
08/27/2026,5:45:55 PM,112.1,124.52,112.1,120.74,124.16,125.42,1654
08/27/2026,5:46:00 PM,106.88,119.12,106.88,114.8,118.58,119.12,1659
08/27/2026,5:46:05 PM,106.88,119.12,106.88,114.8,118.58,119.12,1664
08/27/2026,5:46:10 PM,103.64,112.82,103.64,110.66,114.44,113.9,1669
08/27/2026,5:46:15 PM,101.84,109.22,101.84,107.6,111.38,110.48,1674
08/27/2026,5:46:20 PM,101.84,109.22,101.84,107.6,111.38,110.48,1679
08/27/2026,5:46:25 PM,101.84,109.22,101.84,107.6,111.38,110.48,1684
08/27/2026,5:46:30 PM,96.8,104,96.8,101.66,105.08,104.9,1689
08/27/2026,5:46:35 PM,95.9,102.92,95.9,100.4,104,103.64,1694
08/27/2026,5:46:40 PM,95.54,102.38,95.54,100.04,103.46,103.28,1699
08/27/2026,5:46:45 PM,95.54,102.38,95.54,100.04,103.46,103.28,1704
08/27/2026,5:46:50 PM,95.54,102.38,95.54,100.04,103.46,103.28,1709
08/27/2026,5:46:55 PM,94.46,100.4,94.46,98.42,101.84,102.2,1714
08/27/2026,5:47:00 PM,94.46,100.4,94.46,98.42,101.84,102.2,1719
08/27/2026,5:47:05 PM,94.1,98.96,94.1,97.7,101.12,101.66,1724
08/27/2026,5:47:10 PM,93.74,98.6,93.74,97.34,100.76,101.3,1728
08/27/2026,5:47:15 PM,93.56,98.24,93.56,96.98,100.4,101.12,1733
08/27/2026,5:47:20 PM,93.56,98.06,93.56,96.8,100.04,100.76,1738
08/27/2026,5:47:25 PM,93.38,97.34,93.38,96.44,99.68,100.4,1743
08/27/2026,5:47:30 PM,93.2,97.16,93.2,96.26,99.32,100.04,1748
08/27/2026,5:47:35 PM,93.2,97.16,93.2,96.26,99.32,100.04,1753
08/27/2026,5:47:40 PM,93.02,96.8,93.02,96.08,99.32,99.86,1758
08/27/2026,5:47:45 PM,92.84,96.26,92.84,95.72,99.14,99.68,1763
08/27/2026,5:47:50 PM,92.66,95.9,92.66,95.54,98.96,99.5,1768
08/27/2026,5:47:55 PM,92.66,95.9,92.66,95.54,98.96,99.5,1773
08/27/2026,5:48:00 PM,92.3,95.54,92.3,95,98.42,99.32,1778
08/27/2026,5:48:05 PM,92.12,95.54,92.12,95,98.42,99.14,1783
08/27/2026,5:48:10 PM,92.12,95.54,92.12,94.82,98.24,99.14,1788
08/27/2026,5:48:15 PM,92.12,95.18,92.12,94.64,98.06,98.96,1793
08/27/2026,5:48:20 PM,92.12,95.36,92.12,94.64,98.06,98.96,1798
08/27/2026,5:48:25 PM,91.94,95.36,91.94,94.46,97.88,98.78,1803
08/27/2026,5:48:30 PM,91.94,95.36,91.76,94.28,97.52,98.6,1808
08/27/2026,5:48:35 PM,91.76,95.18,91.76,94.1,97.52,98.42,1814
08/27/2026,5:48:40 PM,91.76,95.36,91.76,94.1,97.34,98.42,1819
08/27/2026,5:48:45 PM,91.58,95.18,91.58,94.1,97.34,98.24,1824
08/27/2026,5:48:50 PM,91.58,95,91.58,94.1,97.52,98.42,1829
08/27/2026,5:48:55 PM,91.76,95,91.76,94.1,97.52,98.42,1834
08/27/2026,5:49:00 PM,91.76,94.82,91.76,94.1,97.7,98.6,1839
08/27/2026,5:49:05 PM,91.76,94.82,91.76,94.1,97.7,98.42,1844
08/27/2026,5:49:10 PM,91.76,94.82,91.76,94.1,97.7,98.42,1849
08/27/2026,5:49:15 PM,91.76,94.82,91.76,94.1,97.7,98.42,1854
08/27/2026,5:49:20 PM,91.76,94.64,91.76,93.92,97.7,98.42,1859
08/27/2026,5:49:25 PM,91.76,94.82,91.76,93.92,97.7,98.42,1864
08/27/2026,5:49:30 PM,91.76,94.82,91.76,93.92,97.7,98.42,1869
08/27/2026,5:49:35 PM,91.4,93.74,91.4,93.74,97.34,98.06,1874
08/27/2026,5:49:40 PM,91.22,93.74,91.22,93.56,97.34,98.06,1879
08/27/2026,5:49:45 PM,91.22,93.74,91.22,93.56,97.34,98.06,1884
08/27/2026,5:49:50 PM,91.22,93.74,91.22,93.56,97.34,98.06,1889
08/27/2026,5:49:55 PM,91.22,93.38,91.22,93.56,97.34,98.06,1894
08/27/2026,5:50:00 PM,91.22,93.38,91.22,93.56,97.34,98.06,1899
08/27/2026,5:50:05 PM,90.86,93.74,90.86,93.38,97.16,97.88,1908
08/27/2026,5:50:10 PM,90.5,93.56,90.5,93.02,96.98,97.52,1913
08/27/2026,5:50:15 PM,89.96,93.38,89.96,92.66,96.44,96.98,1918
08/27/2026,5:50:20 PM,89.96,92.84,89.96,92.48,96.44,96.8,1921
08/27/2026,5:50:25 PM,89.6,92.84,89.6,92.12,96.08,96.8,1926
08/27/2026,5:50:30 PM,89.24,92.66,89.24,91.94,95.72,96.62,1931
08/27/2026,5:50:35 PM,89.24,92.66,89.24,91.94,95.72,96.62,1936
08/27/2026,5:50:40 PM,88.88,92.66,88.88,91.4,95.18,96.44,1941
08/27/2026,5:50:45 PM,88.52,92.48,88.52,90.68,94.82,96.44,1946
08/27/2026,5:50:50 PM,88.16,92.3,88.16,90.5,94.46,96.44,1951
08/27/2026,5:50:55 PM,88.16,92.3,88.16,90.5,94.46,96.44,1956
08/27/2026,5:51:00 PM,87.8,91.4,87.8,89.96,94.1,96.26,1961
08/27/2026,5:51:05 PM,87.8,91.22,87.8,89.96,94.1,96.08,1966
08/27/2026,5:51:10 PM,87.62,91.22,87.62,89.78,94.1,96.08,1971
08/27/2026,5:51:15 PM,87.62,91.04,87.62,89.6,94.1,96.08,1976
